title	description	Authors	Source	Publication Month	Publication Day	Publication Year
"\"Aquarius\" : un bateau sans port d'accueil"	"Le navire humanitaire \"Aquarius\" fait actuellement route vers Marseille (Bouches-du-Rhône) avec 58 migrants à bord. Pour le moment, la France refuse de le laisser accoster et cela divise la classe politique.À 130 kilomètres des côtes libyennes, SOS Méditerranée lance un appel aux responsables politiques. \"Arrêtez de jouer avec les vies des gens. Les gens meurent, il faut qu'une décision soit prise pour les 58 personnes ici \", s'insurge Nicholas Romaniuk, sauveteur de SOS Méditerranée à bord de l'Aquarius. Le navire humanitaire demande à accoster à Marseille (Bouches-du-Rhône) mais la France refuse de l'accueillir pour l'instant. \"Un bateau de migrants doit accoster vers la côte européenne la plus proche \", a assuré Bruno Le Maire mardi 25 septembre. La France doit l'accueillir pour la gauche Pour le président de la région Provence-Alpes-Côte d'Azur, il n'est pas question d'accepter le bateau et de créer un précédent. Marine Le Pen, elle, s'en prend violemment à l'association. \"L'équipage de l'Aquarius est un équipage de passeurs. Ce sont les complices des passeurs\", assure la présidente du Rassemblement national. La France doit-elle au nom d'un devoir humanitaire accueillir le navire ? Oui selon la gauche. \"C'est la responsabilité et la raison qui dictent de le faire\", selon Adrien Quatennens, député La France insoumise du Nord. La situation de l'Aquarius est donc une nouvelle fois figée."	Thomas Horeau	France 2	9	25	2018
"\"Barre-toi !\" : l'impossible dialogue entre un député LREM et des cheminots en grève"	"Bruno Questel, député de l'Eure, a tenté d'aller rencontrer des cheminots grévistes. Mais l'accueil a été mouvementé.Il est arrivé confiant. Bruno Questel, député La République en marche de l'Eure, espérait pouvoir \"échanger\" avec des cheminots en grève, à Sotteville-lès-Rouen. Mais l'élu de la majorité a vite déchanté. \"On n'échange pas\", lui répond immédiatement un cheminot. Le dialogue est impossible, et pas uniquement avec les employés de la SNCF en colère contre la réforme ferroviaire. Des étudiants et des retraités sont là aussi, la colère au ventre. Les mots \"dictature\", \"Macron et ses marionettes\" fusent. \"T'as rien à foutre là, ici t'es chez nous, barre-toi !\", lance un homme au député. \"Il cherchait la provocation !\" Bruno Questel garde tant bien que mal son calme quand la foule lui crie \"Dehors ! Dehors !\" Chassé par les manifestants, il assure qu'il \"mesure la tension, l'exaspération\". Il déplore toutefois \"la totale incapacité à discuter\". \"Je suis venu pour comprendre, parce que je ne suis pas cheminot, je ne suis pas spécialiste de la question\", explique-t-il à France 3. Mais pour un manifestant, \"le député ne cherchait pas le dialogue, il cherchait la provocation\". Après 30 minutes sur place, Bruno Questel est obligé de quitter les lieux. Mais quelques heures plus tard, il est convié au local syndical de Sud Rail. Dans le calme, cette fois, chacun expose ses arguments. Au bout de cette journée de dialogue sous tension, chacun reste toutefois campé sur ses positions."	Philippe Denis	France 3	4	9	2018
"\"Bonhomme\", le bouleversant film de Marion Vernoux sort en salles le 29 août prochain"	"JT 13H - Pour son nouveau film, Marion Vernoux a choisi de mettre en avant un handicap invisible mais qui chamboule des vies.  \"Bonhomme\", c'est l'histoire d'un homme qui, suite à un accident de voiture, souffre d'un traumatisme crânien. Si physiquement il semble être indemne, intérieurement, il vit dans un autre monde, enfantin et totalement désinhibé. Sa femme devra alors apprendre à vivre avec ses sautes d'humeur pour le sauver. Un rôle brillamment interprété par Nicolas Duvauchelle, au côté d'Ana Girardot. \"Bonhomme\" est à découvrir à partir du mercredi 29 août 2018. Ce sujet a été diffusé dans le journal télévisé de 13h du 26/08/2018 présenté par Audrey Crespo-Mara sur TF1. Vous retrouverez au programme du JT de 13h du 26 août 2018 des reportages sur l’actualité politique économique, internationale et culturelle, des analyses et rebonds sur les principaux thèmes du jour, des sujets en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français."	""	TF1	8	26	2018
"\"Boxing Day\" au Royaume-Uni : ruée sur les bonnes affaires"	"Comme le veut la tradition, les soldes ont démarré mercredi 26 décembre au Royaume-Uni. C'est le \"Boxing Day\".Dès 7 heures du matin, à l'entrée des magasins, la file d'attente est interminable, mercredi 26 décembre, en Grande-Bretagne. Certains reprennent des forces et d'autres luttent pour rester éveillés, car, quand le coup d'envoi du \"Boxing Day\" est donné, il faut courir vite pour trouver la bonne affaire. Des rabais jusqu'à -70%, qui font le bonheur des touristes français. \"On est venues dans ce magasin parce qu'on pense faire l'affaire du siècle\", affirment deux Françaises, ravies. 20 millions de clients Une aubaine pour les commerçants. Les chiffres le prouvent. En 2016, 18 millions de clients pour le \"Boxing Day\" ont dépensé 4 milliards d'euros. L'an dernier, ils étaient 23 millions et ont dépensé 4,5 milliards d'euros. Cette année, ils seraient 20 millions. Les clients sont un peu moins nombreux dans les magasins, notamment à cause des achats sur internet. Néanmoins, \"88% des clients font leurs achats en magasin\" selon Jace Tyrrel, représentant de commerces londoniens. Les soldes monstres vont durer six jours."	Elsa Pallot	France 2	12	26	2018
"\"Brimbelle\", \"aller schloff\"... découvrez les mots et les expressions de la région Grand Est"	"JT 20H - La langue de Molière varie d'une région à une autre. Cet été, nous vous proposons de découvrir les expressions utilisées dans chaque territoire. Débutons notre série par le Grand Est.  Cet été, nous allons accompagner vos voyages dans les régions de France. Nous allons vous aider à comprendre les mots et les expressions de chaque territoire. Commençons notre périple par le Grand Est. Avant d'aller \"schloff\" (dormir), allons donc cueillir la \"brimbelle\" (myrtille). Si cette dernière a de nombreuses vertus, elle n'aura sûrement pas le pouvoir de vous ôter le \"crapaud dans la gorge\" (chat dans la gorge). Ce sujet a été diffusé dans le journal télévisé de 20H du 21/07/2018 présenté par Audrey Crespo-Mara sur TF1. Vous retrouverez au programme du JT de 20H du 21 juillet 2018 des reportages sur l’actualité politique économique, internationale et culturelle, des analyses et rebonds sur les principaux thèmes du jour, des sujets en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français."	""	TF1	7	21	2018
"\"Budapest\" : un film inspiré d'une histoire vraie qui sortira en salles le 27 juin"	"JT 13H - Une réalisation de Xavier Gens intitulé \"Budapest\" promet des séances de fous rires.  La comédie du réalisateur Xavier Gens \"Budapest\" relate l'histoire de deux entrepreneurs au bout du rouleau qui décident de se lancer dans une entreprise d'enterrement de vie de garçon. Pour se démarquer du lot, ils proposent des activités toutes aussi invraisemblables les unes que les autres aux futurs mariés. Les premiers rôles de Vincent et Arnaud sont incarnés par Jonathan Cohen et Manu Payet. Notons que ce film est inspiré d'une histoire vraie et sortira en salles le 27 juin. Ce sujet a été diffusé dans le journal télévisé de 13H du 23/06/2018 présenté par Anne-Claire Coudray sur TF1. Vous retrouverez au programme du JT de 13H du 23 juin 2018 des reportages sur l’actualité politique économique, internationale et culturelle, des analyses et rebonds sur les principaux thèmes du jour, des sujets en régions ainsi que des enquêtes sur les sujets qui concernent le quotidien des Français."	""	TF1	6	23	2018
"\"Cash Investigation\" : comment Lactalis enfreint la loi en ne publiant pas ses comptes"	"Le géant du lait Lactalis est aussi ferme que secret et refuse de publier ses comptes. C'est pourtant une obligation depuis la loi Sapin 2 en 2016.La question a été posée aux dirigeants de Lactalis en septembre dernier, lors d'une réunion à l'Assemblée nationale. \"Je voudrais savoir si, comme la loi vous y oblige, vous déposez vos comptes\", interroge le député MoDem Richard Ramos. Le géant laitier assume clairement sa position : \"Je ne crois pas que la publication des comptes permet au producteur d'avoir un meilleur revenu à la fin du mois\", rétorque Michel Nalet, directeur de la communication du groupe. \"Cash Investigation\" a enquêté. >> REPLAY. Revivez l'enquête de \"Cash Investigation\" sur les produits laitiers Depuis la loi Sapin 2 de 2016, le ministère de l'Agriculture a pourtant le pouvoir de réclamer les comptes de l'entreprise, via les tribunaux de commerce. En mars, les autorités ont saisi par courrier les juges du tribunal de commerce de Laval (Mayenne), où est installé le siège de Lactalis, mais leur demande est restée lettre morte. \"Je n'ai rien à déclarer\", rétorque un responsable du tribunal, interrogé en caméra cachée par \"Cash Investigation\". Le vice-président du tribunal est cadre chez Lactalis Sauf que l'émission a remarqué un détail intéressant dans la composition du tribunal de commerce de Laval : un certain Michel Peslier en occupe la vice-présidence. Comme tous les membres du tribunal, il est juge bénévole. Dans la vie, il exerce un autre métier : cadre dirigeant chez Lactalis. Gênant ? \"J'exerce mes fonctions en toute indépendance et impartialité, dans le respect des obligations et devoirs qui relèvent de ma charge\", répond-il à France 2. Résultat : le ministre de l'Agriculture \"ne sait pas\" combien Lactalis fait de bénéfices chaque année. \"Ca me dérange forcément, puisque respecter la loi, c'est ce qu'on demande à tous nos concitoyens\", réagit-il auprès de France 2. Une loi aujourd'hui toujours ignorée par Lactalis : à ce jour, le numéro un mondial du lait n'a toujours pas publié ses comptes."	Elsa Pallot	France 2	1	16	2018
"\"Cash Investigation\" : enquête sur les prothèses vaginales"	"C'est un sujet tabou. Chaque année en France, près de 50 000 femmes se font implanter une prothèse vaginale. L'émission \"Cash Investigation\" a mené l'enquête. Ce type d'implant peut devenir un cauchemar.\"Cash Investigation\" a enquêté sur les implants de prothèses vaginales. Un sujet tabou et une opération qui peut devenir un véritable cauchemar. Il y a peu, Cathy travaillait en tant qu'infirmière à l'hôpital de nuit. Un métier difficile, deux accouchements. En 2010, le corps de Cathy fatigue. Elle a une descente d'organes. Son gynécologue lui propose alors l'option chirurgicale et l'implant d'une prothèse vaginale, le Prolift. \"Il m'a juste dit qu'il me poserait quelque chose de très solide, et que je pourrais faire n'importe quel sport après (...), à aucun moment il ne me parle de risques par rapport à la prothèse\", se souvient-elle. \"J'étais au bord de l'évanouissement\" Mais trois ans après l'opération arrivent les complications. Cathy les note, jour après jour, dans un journal. Des douleurs intenses, inexpliquées, l'empêchent de marcher, de rester assise, de vivre. \"À chaque fois que j'urinais, je ne hurlais pas, mais je gémissais, je pleurais, j'étais au bord de l'évanouissement\", explique-t-elle. Une enquête à retrouver en intégralité mardi 27 novembre sur France 2."	Philippe Denis	France 3	11	25	2018
"\"Cash Investigation\" : le scandale sanitaire des prothèses vaginales"	"Une enquête de \"Cash Investigation\" dévoile les scandales derrière certains implants de prothèses vaginales, une opération qui concerne pourtant près de 50 000 femmes chaque année.C'est un scandale sanitaire de plus. L'émission \"Cash Investigation\" sort une enquête édifiante sur les implants de prothèses vaginales. Elles ne seraient pas contrôlés comme des médicaments. \"Un médicament, pour qu'il soit autorisé, doit bénéficier d'une autorisation de mise sur le marché et c'est un organisme public, l'Agence nationale de sécurité du médicament, qui va donner une autorisation en se basant sur la fameuse balance bénéfices-risques\", explique la journaliste Florence Griffond sur le plateau de France 2. Des tests réalisés sur un nombre insuffisant de patients \"En revanche, un dispositif médical comme par exemple une prothèse, un stent ou un stérilet, n'est pas contrôlé par l'Agence du médicament avant sa commercialisation. Ce sont des organismes privés qui vérifient si le dispositif est conforme aux exigences de sécurité définies au niveau européen. Dans ces cas-là, ils lui attribuent le label CE\", précise la journaliste. Ces contrôles semblent néanmoins insuffisants. \"Ces industriels réalisent des tests pour voir si les patients supportent l'appareil, mais ces tests ne sont pas toujours réalisés sur un nombre suffisant de patients, et donc des anomalies peuvent ne pas être détectées\", conclut Florence Griffond. L'enquête de \"Cash Investigation\" est à retrouver mardi 27 novembre sur France 2."	Elsa Pallot	France 2	11	25	2018
"\"Comme des garçons\", le film hommage aux pionnières du football féminin"	"Il y a 50 ans, les pionnières du football français faisaient leurs premièrs dribles à Reims (Marne). Le film \"Comme des garçons\", de Julien Hallard, leur rend hommage.Leur histoire est celle du football féminin. Une histoire qui a commencé à Reims (Marne), sur un terrain qui depuis s'est bien modernisé. Mais les souvenirs restent intacts. C'était il y a 50 ans, en 1968, année d'un grand bouleversement pour ces filles, parmi les premières à jouer au ballon rond. \"On a été les pionnières, à l'époque on n'en avait pas conscience, nous on venait jouer au foot\", se souvient Michèle Monier, ancienne capitaine de l'équipe féminine de Reims. \"Quand on faisait un beau geste, on était applaudies, mais bon il y a toujours quelques réfractaires qui vous font des réflexions stupides\", souligne Ghislaine Souef. L'histoire d'une aventure À l'origine du premier match de football féminin, une petite annonce conservée précieusement par Ghislaine Souef. Le match devait être l'animation principale de la kermesse de la ville, l'idée de deux journalistes locaux. \"On a mis cette annonce et en 15 jours, on s'est retrouvé avec une quinzaine de jeunes filles\", explique Richard Gaud, ancien entraîneur et journaliste à L'Union de Reims. \"Un copain à mon frère m'a dit : 'Allez hop, ma voiture elle est là, viens je t'emmène, on va t'inscrire'\", raconte Ghislaine Souef. Très vite, les Rémoises font le tour du monde pour disputer des matchs de démonstration. Un championnat de France est lancé en 1974, mais le plus dur restait de se faire accepter, y compris par les siens. \"Ma mère, elle avait trouvé ça un peu bizarre [...] elle m'a dit : 'T'es folle'\", se souvient Michèle Monier. Leur drôle d'aventure est aujourd'hui adaptée au cinéma. Comme des garçons est une comédie qui rejoue la création de l'équipe, de quoi entretenir un peu plus la légende. Le film sort sur les écrans le 25 avril"	Elsa Pallot	France 2	4	21	2018
"\"Cutii\", le premier robot humanoïde commercialisé en France"	"Une société française a imaginé un robot intelligent, qui pourrait devenir le compagnon de nos vieux jours.Évelyne Gheysens est une pionnière. Âgée de 68 ans, elle est l'une des premières personnes du genre humain a essayer de partager sa vie avec un robot humanoïde de première génération, prénommé \"Cutii\". Il se déplace à volonté et sa première fonction est la téléprésence. Ainsi, Évelyne peut contacter ses proches à tout moment, sans aucun effort. Elle peut aussi participer à plusieurs activités à distance comme des quiz historiques. \"Je suis consciente que je parle à un robot, mais j'ai quand même une personne au bout\", témoigne Évelyne, convaincue de l'efficacité du robot Cutii. Sur le marché en mai 2018 pour 70 euros par mois Encore quelques réglages et ce robot élaboré à Roubaix (Nord) sera commercialisé à 70 euros par mois. La première série de Cutii sera mise sur le marché en mai 2018."	Philippe Denis	France 3	1	8	2018
"\"Duo Day\" : quand salariés et handicapés partagent une journée de travail"	"Étudiant en journalisme, Benjamin Campech est apprenti sur le site d'information Loopsider, il est journaliste sur France 3 le temps d'une journée ce 26 avril dans le cadre de l'opération \"Duo Day\" qui permet aux handicapés de faire une immersion d'une journée dans l'emploi.\"Duo Day\" est une opération conduite par la secrétaire d'État aux personnes handicapées. Benjamin Campeh, étudiant en journalisme souffrant de handicap a intégré la rédaction du 12/13 de France 3 ce jeudi 26 avril. \"J'ai pu aller de la conférence de rédaction jusqu'à la présentation là maintenant en plateau et honnêtement l'équipe a été très sympathique et je remercie mon accompagnateur qui a été super\", explique le jeune étudiant en journalisme souffrant de handicap. \"Un travail à faire sur le regard qu'on porte aux autres\" Benjamin apparaît très à l'aise en plateau, mais il est handicapé par une malformation auditive. \"Je suis malentendant, je suis né avec une malformation des tympans qui fait que j’entends moins bien dans les aigus notamment et je suis appareillé depuis l'âge de quatre ans. J'ai eu des cours d'orthophonie pour pouvoir rattraper un retard de langage\", explique le jeune homme. Il a un parcours brillant puisqu'il a obtenu un BAC S Mention Très Bien. Il est aussi ingénieur, diplômé de l'École nationale de chimie de Paris. Il poursuit désormais ses études pour devenir journaliste. \"Là où il y a un vrai travail à faire, c'est sur le regard qu'on porte aux autres\", conclut Benjamin Campech."	Pierre-Yves Grenu	France 3	4	26	2018
"\"Energy observer\" : un navire solaire à la conquête du monde"	"L'\"Energy observer\" est un catamaran qui ne fonctionne qu'à l'énergie du soleil. Ce navire autonome s'apprête à partir pour un voyage de 5 ans autour du monde.C'est peut-être le vaisseau du futur ; un navire propulsé uniquement grâce aux énergies vertes, à commencer par l'énergie solaire, captée par les 130 mètres de panneaux qui recouvrent le bateau. \"La route la plus rapide n'est pas forcément la route directe, explique Marin Jarry, second capitaine du \"Energy observer\". Parce que si on a des nuages d'un côté et un peu plus de soleil de l'autre, on va peut-être faire un peu plus de distance, mais on va pouvoir aller plus vite, et surtout emmagasiner un maximum d'énergie\". Des technologies françaises 100% propres Ce catamaran de 30 mètres sur 13 est un prototype unique au monde. C'est une deuxième vie pour ce voilier, qui était un catamaran de course à l'origine. Il a permis à Peter Blake de remporter le trophée Jules Verne en 1994. Il a fallu 4 années à Saint-Malo (Ille-et-Vilaine) pour le transformer en navire entièrement autonome en énergie. En plus des panneaux photovoltaïques, il est équipé de deux éoliennes, d'une grande voile, et surtout, d'un ingénieux système qui transforme l'eau de mer en hydrogène. Des technologies françaises 100% propres. À l'intérieur de ce laboratoire flottant, un équipage d'une dizaine de personnes, marins et scientifiques. Après plusieurs mois de test sur les côtes françaises, l'\"Energy observer\" quitte Marseille (Bouches-du-Rhône) ce mercredi 28 mars pour un long tour du monde : cinq ans, et une centaine d'escales afin de séduire des partenaires et de mettre ces innovations à l'épreuve de la nature."	Thomas Horeau	France 2	3	28	2018
